Sales_20_Target_Category,Sales_20_Target_Order_20_Date,Sales_20_Target_Segment,Sales_20_Target_Sales_20_Target,Sales_20_Target_Cat_2e_seg_20_ID
Furniture,09 June 2020,Consumer,327,2020_6_9_Furniture_Consumer
Furniture,11 June 2020,Consumer,32,2020_6_11_Furniture_Consumer
Furniture,11 June 2020,Corporate,"1,161",2020_6_11_Furniture_Corporate
Furniture,12 June 2020,Consumer,43,2020_6_12_Furniture_Consumer
Furniture,14 June 2020,Home Office,50,2020_6_14_Furniture_Home Office
Furniture,15 June 2020,Consumer,425,2020_6_15_Furniture_Consumer
Furniture,16 June 2020,Consumer,201,2020_6_16_Furniture_Consumer
Furniture,18 June 2020,Consumer,60,2020_6_18_Furniture_Consumer
Furniture,18 June 2020,Corporate,656,2020_6_18_Furniture_Corporate
Furniture,18 June 2020,Home Office,68,2020_6_18_Furniture_Home Office
Furniture,19 June 2020,Consumer,11,2020_6_19_Furniture_Consumer
Furniture,20 June 2020,Corporate,227,2020_6_20_Furniture_Corporate
Furniture,22 June 2020,Home Office,765,2020_6_22_Furniture_Home Office
Furniture,23 June 2020,Corporate,27,2020_6_23_Furniture_Corporate
Furniture,25 June 2020,Consumer,241,2020_6_25_Furniture_Consumer
Furniture,26 June 2020,Consumer,366,2020_6_26_Furniture_Consumer
Furniture,28 June 2020,Corporate,950,2020_6_28_Furniture_Corporate
Furniture,29 June 2020,Consumer,124,2020_6_29_Furniture_Consumer
Furniture,02 July 2020,Consumer,870,2020_7_2_Furniture_Consumer
