Sample_20__2d__20_Orders_Categ_2e_seg_20_ID,Sample_20__2d__20_Orders_Order_20_Date,Sample_20__2d__20_Orders_Category,Sample_20__2d__20_Orders_Segment,Sample_20__2d__20_Orders_City,Sample_20__2d__20_Orders_Country_2f_Region,Sample_20__2d__20_Orders_Product_20_Name,Sample_20__2d__20_Orders_Region,Sample_20__2d__20_Orders_Ship_20_Date,Sample_20__2d__20_Orders_Ship_20_Mode,Sample_20__2d__20_Orders_Ship_20_Status,Sample_20__2d__20_Orders_State_2f_Province,Sample_20__2d__20_Orders_Sub_2d_Category,Sample_20__2d__20_Orders_Days_20_to_20_Ship_20_Actual,Sample_20__2d__20_Orders_Days_20_to_20_Ship_20_Scheduled,Sample_20__2d__20_Orders_Discount_2c__25_,Sample_20__2d__20_Orders_Profit_2c__24_,Sample_20__2d__20_Orders_Quantity,Sample_20__2d__20_Orders_Sales_2c__24_,Sample_20__2d__20_Orders_Sales_20_Forecast_2c__24_
2019_1_18_Office Supplies_Corporate,18 January 2019,Office Supplies,Corporate,Springfield,United States,Fellowes Mighty 8 Compact Surge Protector,West,21 January 2019,Second Class,Shipped On Time,Oregon,Appliances,3,3,20,6,4,65,97
2019_1_19_Furniture_Consumer,19 January 2019,Furniture,Consumer,Scottsdale,United States,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,20 January 2019,First Class,Shipped On Time,Arizona,Bookcases,1,1,70,321,5,181,272
2019_1_19_Office Supplies_Consumer,19 January 2019,Office Supplies,Consumer,Scottsdale,United States,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,20 January 2019,First Class,Shipped On Time,Arizona,Binders,1,1,70,24,10,32,48
2019_1_19_Office Supplies_Consumer,19 January 2019,Office Supplies,Consumer,Scottsdale,United States,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,20 January 2019,First Class,Shipped On Time,Arizona,Paper,1,1,20,20,4,56,84
2019_1_19_Office Supplies_Consumer,19 January 2019,Office Supplies,Consumer,Scottsdale,United States,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,20 January 2019,First Class,Shipped On Time,Arizona,Envelopes,1,1,20,37,5,109,163
2019_1_20_Furniture_Consumer,20 January 2019,Furniture,Consumer,Jonesboro,United States,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,26 January 2019,Standard Class,Shipped On Time,Arkansas,Furnishings,6,6,0,12,4,39,58
2019_1_20_Furniture_Consumer,20 January 2019,Furniture,Consumer,Jonesboro,United States,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,26 January 2019,Standard Class,Shipped On Time,Arkansas,Chairs,6,6,0,224,3,"1,068",1599
2019_1_20_Furniture_Consumer,20 January 2019,Furniture,Consumer,Los Angeles,United States,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,25 January 2019,Standard Class,Shipped Early,California,Furnishings,5,6,0,6,2,19,29
2019_1_20_Furniture_Consumer,20 January 2019,Furniture,Consumer,Westland,United States,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Furnishings,6,6,0,30,3,273,409
2019_1_20_Furniture_Consumer,20 January 2019,Furniture,Consumer,Westland,United States,Ultra Door Push Plate,Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Furnishings,6,6,0,5,3,15,22
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Jonesboro,United States,Newell 327,South,26 January 2019,Standard Class,Shipped On Time,Arkansas,Art,6,6,0,2,3,7,10
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Jonesboro,United States,Newell 351,South,26 January 2019,Standard Class,Shipped On Time,Arkansas,Art,6,6,0,7,7,23,34
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Jonesboro,United States,Staple envelope,South,26 January 2019,Standard Class,Shipped On Time,Arkansas,Envelopes,6,6,0,11,3,23,35
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Los Angeles,United States,"Wirebound Service Call Books, 5 1/2"" x 4""",West,25 January 2019,Standard Class,Shipped Early,California,Paper,5,6,0,9,2,19,29
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Westland,United States,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Binders,6,6,0,9,5,19,29
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Westland,United States,Eldon Fold 'N Roll Cart System,Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Storage,6,6,0,4,1,14,21
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Westland,United States,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Storage,6,6,0,16,2,67,100
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Westland,United States,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Appliances,6,6,10,94,4,248,371
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Westland,United States,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Art,6,6,0,13,3,44,66
2019_1_20_Office Supplies_Consumer,20 January 2019,Office Supplies,Consumer,Westland,United States,Storex Dura Pro Binders,Central,26 January 2019,Standard Class,Shipped On Time,Michigan,Binders,6,6,0,13,5,30,44
2019_1_20_Office Supplies_Corporate,20 January 2019,Office Supplies,Corporate,Smyrna,United States,GBC DocuBind TL200 Manual Binding Machine,South,26 January 2019,Standard Class,Shipped On Time,Tennessee,Binders,6,6,70,52,1,67,101
2019_1_20_Technology_Consumer,20 January 2019,Technology,Consumer,Jonesboro,United States,Apple iPhone 5C,South,26 January 2019,Standard Class,Shipped On Time,Arkansas,Phones,6,6,0,182,7,700,1048
2019_1_21_Furniture_Consumer,21 January 2019,Furniture,Consumer,Miami,United States,Ultra Door Pull Handle,South,23 January 2019,Second Class,Shipped Early,Florida,Furnishings,2,3,20,4,3,25,38
2019_1_21_Furniture_Corporate,21 January 2019,Furniture,Corporate,Toronto,Canada,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",East,24 January 2019,Standard Class,Shipped Early,Ontario,Furnishings,3,6,0,4,1,9,14
2019_1_21_Furniture_Corporate,21 January 2019,Furniture,Corporate,Toronto,Canada,"Eldon 200 Class Desk Accessories, Burgundy",East,24 January 2019,Standard Class,Shipped Early,Ontario,Furnishings,3,6,0,13,5,31,47
2019_1_21_Furniture_Corporate,21 January 2019,Furniture,Corporate,Toronto,Canada,"Eldon Imàge Series Desk Accessories, Clear",East,24 January 2019,Standard Class,Shipped Early,Ontario,Furnishings,3,6,0,10,5,24,36
2019_1_21_Office Supplies_Corporate,21 January 2019,Office Supplies,Corporate,Toronto,Canada,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),East,24 January 2019,Standard Class,Shipped Early,Ontario,Paper,3,6,0,3,1,6,10
2019_1_21_Technology_Corporate,21 January 2019,Technology,Corporate,Toronto,Canada,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",East,24 January 2019,Standard Class,Shipped Early,Ontario,Phones,3,6,0,59,10,210,314
2019_1_23_Office Supplies_Consumer,23 January 2019,Office Supplies,Consumer,Lafayette,United States,"Alliance Big Bands Rubber Bands, 12/Pack",Central,27 January 2019,Standard Class,Shipped Early,Indiana,Fasteners,4,6,0,0,3,6,9
2019_1_23_Office Supplies_Consumer,23 January 2019,Office Supplies,Consumer,Las Vegas,United States,Xerox 195,West,28 January 2019,Standard Class,Shipped Early,Nevada,Paper,5,6,0,19,6,40,60
2019_1_26_Furniture_Corporate,26 January 2019,Furniture,Corporate,Rapid City,United States,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,29 January 2019,First Class,Shipped Late,South Dakota,Bookcases,3,1,0,40,2,142,213
2019_1_26_Furniture_Home Office,26 January 2019,Furniture,Home Office,Alexandria,United States,Eldon Image Series Black Desk Accessories,South,31 January 2019,Standard Class,Shipped Early,Virginia,Furnishings,5,6,0,4,3,12,19
2019_1_26_Furniture_Home Office,26 January 2019,Furniture,Home Office,Alexandria,United States,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,31 January 2019,Standard Class,Shipped Early,Virginia,Furnishings,5,6,0,31,3,63,94
2019_1_26_Office Supplies_Corporate,26 January 2019,Office Supplies,Corporate,Rapid City,United States,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,29 January 2019,First Class,Shipped Late,South Dakota,Binders,3,1,0,5,2,11,16
2019_1_26_Office Supplies_Home Office,26 January 2019,Office Supplies,Home Office,Alexandria,United States,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,31 January 2019,Standard Class,Shipped Early,Virginia,Paper,5,6,0,9,3,19,29
2019_1_26_Office Supplies_Home Office,26 January 2019,Office Supplies,Home Office,Alexandria,United States,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,31 January 2019,Standard Class,Shipped Early,Virginia,Paper,5,6,0,8,2,17,25
2019_1_26_Office Supplies_Home Office,26 January 2019,Office Supplies,Home Office,Alexandria,United States,"SAFCO Commercial Wire Shelving, 72h",South,31 January 2019,Standard Class,Shipped Early,Virginia,Storage,5,6,0,0,8,490,734
2019_1_26_Technology_Home Office,26 January 2019,Technology,Home Office,Alexandria,United States,Jabra SPEAK 410,South,31 January 2019,Standard Class,Shipped Early,Virginia,Phones,5,6,0,53,2,188,282
2019_1_26_Technology_Home Office,26 January 2019,Technology,Home Office,Alexandria,United States,Macally Suction Cup Mount,South,31 January 2019,Standard Class,Shipped Early,Virginia,Phones,5,6,0,0,13,155,233
2019_1_27_Furniture_Consumer,27 January 2019,Furniture,Consumer,San Diego,United States,Balt Split Level Computer Training Table,West,02 February 2019,Standard Class,Shipped On Time,California,Tables,6,6,20,17,3,333,499
2019_1_27_Office Supplies_Consumer,27 January 2019,Office Supplies,Consumer,San Diego,United States,Dixon Ticonderoga Core-Lock Colored Pencils,West,02 February 2019,Standard Class,Shipped On Time,California,Art,6,6,0,12,4,36,55
2019_1_27_Office Supplies_Consumer,27 January 2019,Office Supplies,Consumer,San Diego,United States,Recycled Steel Personal File for Hanging File Folders,West,02 February 2019,Standard Class,Shipped On Time,California,Storage,6,6,0,14,1,57,86
2019_1_28_Office Supplies_Consumer,28 January 2019,Office Supplies,Consumer,New York City,United States,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,03 February 2019,Standard Class,Shipped On Time,New York,Binders,6,6,20,1,1,4,6
2019_1_3_Office Supplies_Consumer,03 January 2019,Office Supplies,Consumer,Houston,United States,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,07 January 2019,Standard Class,Shipped Early,Texas,Paper,4,6,20,6,2,16,25
2019_1_30_Office Supplies_Consumer,30 January 2019,Office Supplies,Consumer,Detroit,United States,Space Solutions HD Industrial Steel Shelving.,Central,04 February 2019,Standard Class,Shipped Early,Michigan,Storage,5,6,0,7,2,230,344
2019_1_30_Office Supplies_Consumer,30 January 2019,Office Supplies,Consumer,Detroit,United States,Xerox 1972,Central,04 February 2019,Standard Class,Shipped Early,Michigan,Paper,5,6,0,5,2,11,16
2019_1_31_Furniture_Consumer,31 January 2019,Furniture,Consumer,Mission Viejo,United States,"Sauder Facets Collection Library, Sky Alder Finish",West,02 February 2019,First Class,Shipped Late,California,Bookcases,2,1,15,3,2,291,435
2019_1_4_Office Supplies_Home Office,04 January 2019,Office Supplies,Home Office,Naperville,United States,Avery 508,Central,08 January 2019,Standard Class,Shipped Early,Illinois,Labels,4,6,20,4,3,12,18
2019_1_4_Office Supplies_Home Office,04 January 2019,Office Supplies,Home Office,Naperville,United States,GBC Standard Plastic Binding Systems Combs,Central,08 January 2019,Standard Class,Shipped Early,Illinois,Binders,4,6,80,5,2,4,5
2019_1_4_Office Supplies_Home Office,04 January 2019,Office Supplies,Home Office,Naperville,United States,SAFCO Boltless Steel Shelving,Central,08 January 2019,Standard Class,Shipped Early,Illinois,Storage,4,6,20,65,3,273,408
2019_1_5_Office Supplies_Consumer,05 January 2019,Office Supplies,Consumer,Philadelphia,United States,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,12 January 2019,Standard Class,Shipped Late,Pennsylvania,Art,7,6,20,5,3,20,29
2019_1_6_Furniture_Home Office,06 January 2019,Furniture,Home Office,Henderson,United States,Global Deluxe High-Back Manager's Chair,South,10 January 2019,Standard Class,Shipped Early,Kentucky,Chairs,4,6,0,746,9,"2,574",3855
2019_1_6_Office Supplies_Consumer,06 January 2019,Office Supplies,Consumer,Los Angeles,United States,Xerox 225,West,08 January 2019,Second Class,Shipped Early,California,Paper,2,3,0,9,3,19,29
2019_1_6_Office Supplies_Corporate,06 January 2019,Office Supplies,Corporate,Athens,United States,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,07 January 2019,First Class,Shipped On Time,Georgia,Art,1,1,0,5,3,13,19
2019_1_6_Office Supplies_Home Office,06 January 2019,Office Supplies,Home Office,Henderson,United States,"Alliance Super-Size Bands, Assorted Sizes",South,10 January 2019,Standard Class,Shipped Early,Kentucky,Fasteners,4,6,0,0,4,31,47
2019_1_6_Office Supplies_Home Office,06 January 2019,Office Supplies,Home Office,Henderson,United States,Ibico Hi-Tech Manual Binding System,South,10 January 2019,Standard Class,Shipped Early,Kentucky,Binders,4,6,0,274,2,610,914
2019_1_6_Office Supplies_Home Office,06 January 2019,Office Supplies,Home Office,Henderson,United States,Rogers Handheld Barrel Pencil Sharpener,South,10 January 2019,Standard Class,Shipped Early,Kentucky,Art,4,6,0,1,2,5,8
2019_1_6_Office Supplies_Home Office,06 January 2019,Office Supplies,Home Office,Henderson,United States,Southworth 25% Cotton Granite Paper & Envelopes,South,10 January 2019,Standard Class,Shipped Early,Kentucky,Paper,4,6,0,3,1,7,10
2019_1_6_Technology_Home Office,06 January 2019,Technology,Home Office,Henderson,United States,GE 30524EE4,South,10 January 2019,Standard Class,Shipped Early,Kentucky,Phones,4,6,0,114,2,392,587
2019_1_6_Technology_Home Office,06 January 2019,Technology,Home Office,Henderson,United States,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,10 January 2019,Standard Class,Shipped Early,Kentucky,Phones,4,6,0,204,4,756,1132
2019_1_7_Furniture_Consumer,07 January 2019,Furniture,Consumer,Huntsville,United States,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,12 January 2019,Standard Class,Shipped Early,Texas,Furnishings,5,6,60,54,3,77,115
2019_1_7_Office Supplies_Consumer,07 January 2019,Office Supplies,Consumer,Huntsville,United States,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,12 January 2019,Standard Class,Shipped Early,Texas,Binders,5,6,80,18,7,10,16
2019_1_9_Office Supplies_Consumer,09 January 2019,Office Supplies,Consumer,Laredo,United States,Newell 312,Central,13 January 2019,Standard Class,Shipped Early,Texas,Art,4,6,20,1,2,9,14
2019_1_9_Technology_Consumer,09 January 2019,Technology,Consumer,Laredo,United States,Memorex Micro Travel Drive 8 GB,Central,13 January 2019,Standard Class,Shipped Early,Texas,Accessories,4,6,20,10,3,31,47
2019_10_1_Office Supplies_Home Office,01 October 2019,Office Supplies,Home Office,Reno,United States,Sterling Rubber Bands by Alliance,West,05 October 2019,Standard Class,Shipped Early,Nevada,Fasteners,4,6,0,0,1,5,7
2019_10_10_Furniture_Home Office,10 October 2019,Furniture,Home Office,Manteca,United States,"Global Deluxe Stacking Chair, Gray",West,10 October 2019,Same Day,Shipped On Time,California,Chairs,0,0,20,14,3,122,183
2019_10_10_Furniture_Home Office,10 October 2019,Furniture,Home Office,Phoenix,United States,Westinghouse Clip-On Gooseneck Lamps,West,14 October 2019,Standard Class,Shipped Early,Arizona,Furnishings,4,6,20,4,7,47,70
2019_10_10_Office Supplies_Consumer,10 October 2019,Office Supplies,Consumer,Columbus,United States,"Premier Elliptical Ring Binder, Black",East,10 October 2019,Same Day,Shipped On Time,Ohio,Binders,0,0,70,13,2,18,27
2019_10_10_Office Supplies_Corporate,10 October 2019,Office Supplies,Corporate,Albuquerque,United States,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",West,10 October 2019,Same Day,Shipped On Time,New Mexico,Art,0,0,0,113,7,256,383
2019_10_10_Office Supplies_Corporate,10 October 2019,Office Supplies,Corporate,Huntsville,United States,Avery Non-Stick Binders,Central,15 October 2019,Standard Class,Shipped Early,Texas,Binders,5,6,80,2,1,1,1
2019_10_10_Office Supplies_Corporate,10 October 2019,Office Supplies,Corporate,Huntsville,United States,GBC Personal VeloBind Strips,Central,15 October 2019,Standard Class,Shipped Early,Texas,Binders,5,6,80,19,5,12,18
2019_10_10_Office Supplies_Home Office,10 October 2019,Office Supplies,Home Office,Manteca,United States,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",West,10 October 2019,Same Day,Shipped On Time,California,Envelopes,0,0,0,7,2,15,23
2019_10_10_Technology_Consumer,10 October 2019,Technology,Consumer,Columbus,United States,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,East,10 October 2019,Same Day,Shipped On Time,Ohio,Machines,0,0,70,71,2,102,153
2019_10_10_Technology_Corporate,10 October 2019,Technology,Corporate,Huntsville,United States,Cisco 8x8 Inc. 6753i IP Business Phone System,Central,15 October 2019,Standard Class,Shipped Early,Texas,Phones,5,6,20,66,7,756,1132
2019_10_10_Technology_Corporate,10 October 2019,Technology,Corporate,Huntsville,United States,Motorola Droid Maxx,Central,15 October 2019,Standard Class,Shipped Early,Texas,Phones,5,6,20,72,6,720,1078
2019_10_11_Furniture_Consumer,11 October 2019,Furniture,Consumer,Pasadena,United States,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,West,13 October 2019,First Class,Shipped Late,California,Chairs,2,1,20,65,2,434,649
2019_10_11_Furniture_Corporate,11 October 2019,Furniture,Corporate,Fayetteville,United States,Eldon Pizzaz Desk Accessories,South,15 October 2019,Standard Class,Shipped Early,Arkansas,Furnishings,4,6,0,4,4,9,13
2019_10_11_Furniture_Home Office,11 October 2019,Furniture,Home Office,Seattle,United States,DAX Cubicle Frames - 8x10,West,16 October 2019,Standard Class,Shipped Early,Washington,Furnishings,5,6,0,19,11,63,95
2019_10_11_Office Supplies_Consumer,11 October 2019,Office Supplies,Consumer,Pasadena,United States,Iris Project Case,West,13 October 2019,First Class,Shipped Late,California,Storage,2,1,0,8,4,32,48
2019_10_11_Office Supplies_Consumer,11 October 2019,Office Supplies,Consumer,Philadelphia,United States,Airmail Envelopes,East,15 October 2019,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,20,68,3,201,302
2019_10_11_Office Supplies_Consumer,11 October 2019,Office Supplies,Consumer,Philadelphia,United States,Fellowes High-Stak Drawer Files,East,15 October 2019,Standard Class,Shipped Early,Pennsylvania,Storage,4,6,20,11,2,282,422
2019_10_11_Office Supplies_Consumer,11 October 2019,Office Supplies,Consumer,Redondo Beach,United States,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",West,15 October 2019,Standard Class,Shipped Early,California,Envelopes,4,6,0,4,1,8,11
2019_10_11_Office Supplies_Corporate,11 October 2019,Office Supplies,Corporate,Fayetteville,United States,Self-Adhesive Address Labels for Typewriters by Universal,South,15 October 2019,Standard Class,Shipped Early,Arkansas,Labels,4,6,0,3,1,7,11
2019_10_11_Technology_Home Office,11 October 2019,Technology,Home Office,Seattle,United States,WD My Passport Ultra 1TB Portable External Hard Drive,West,16 October 2019,Standard Class,Shipped Early,Washington,Accessories,5,6,0,59,5,345,517
2019_10_12_Office Supplies_Consumer,12 October 2019,Office Supplies,Consumer,San Francisco,United States,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,16 October 2019,Standard Class,Shipped Early,California,Art,4,6,0,4,5,15,22
2019_10_12_Office Supplies_Consumer,12 October 2019,Office Supplies,Consumer,San Francisco,United States,"Sortfiler Multipurpose Personal File Organizer, Black",West,16 October 2019,Standard Class,Shipped Early,California,Storage,4,6,0,6,1,21,32
2019_10_12_Office Supplies_Corporate,12 October 2019,Office Supplies,Corporate,Chicago,United States,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Central,17 October 2019,Standard Class,Shipped Early,Illinois,Supplies,5,6,20,3,2,22,33
2019_10_13_Furniture_Consumer,13 October 2019,Furniture,Consumer,Edmonds,United States,"Bevis Round Bullnose 29"" High Table Top",West,15 October 2019,First Class,Shipped Late,Washington,Tables,2,1,0,312,5,"1,299",1945
2019_10_13_Furniture_Corporate,13 October 2019,Furniture,Corporate,Lakewood,United States,"Global High-Back Leather Tilter, Burgundy",East,18 October 2019,Second Class,Shipped Late,New Jersey,Chairs,5,3,0,27,2,246,368
2019_10_13_Office Supplies_Consumer,13 October 2019,Office Supplies,Consumer,Edmonds,United States,Belkin F9G930V10-GRY 9 Outlet Surge,West,15 October 2019,First Class,Shipped Late,Washington,Appliances,2,1,0,62,4,214,320
2019_10_13_Office Supplies_Consumer,13 October 2019,Office Supplies,Consumer,Edmonds,United States,Newell 32,West,15 October 2019,First Class,Shipped Late,Washington,Art,2,1,0,3,4,12,17
2019_10_13_Office Supplies_Corporate,13 October 2019,Office Supplies,Corporate,Lakewood,United States,Flexible Leather- Look Classic Collection Ring Binder,East,18 October 2019,Second Class,Shipped Late,New Jersey,Binders,5,3,0,9,1,19,28
2019_10_13_Office Supplies_Corporate,13 October 2019,Office Supplies,Corporate,Mount Vernon,United States,Recycled Pressboard Report Cover with Reinforced Top Hinge,East,17 October 2019,Standard Class,Shipped Early,New York,Binders,4,6,20,3,3,8,12
2019_10_13_Office Supplies_Home Office,13 October 2019,Office Supplies,Home Office,Richmond,United States,Pastel Pink Envelopes,South,15 October 2019,First Class,Shipped Late,Virginia,Envelopes,2,1,0,17,5,36,55
